topic_Name,Twitter_news_link,Twitter_Topic,Twitter_Relevance,Twitter_Sentiment
coronavirus,/url?q=https://twitter.com/i/events/1240662046280048646%3Flang%3Den&sa=U&ved=2ahUKEwiZvrLx7p7qAhUQ4zgGHfpvAGgQFjAAegQICRAB&usg=AOvVaw2TpwRNDbO3HW896FzYSXuH,State,0.91136,neutral
coronavirus,/url?q=https://twitter.com/i/events/1219057585707315201%3Flang%3Den&sa=U&ved=2ahUKEwiZvrLx7p7qAhUQ4zgGHfpvAGgQFjABegQIAxAB&usg=AOvVaw37ulQCmtjKkJw7UATwKF-G,Term,0.91136,negative
coronavirus,/url?q=https://twitter.com/pti_news%3Flang%3Den&sa=U&ved=2ahUKEwiZvrLx7p7qAhUQ4zgGHfpvAGgQFjAHegQIChAB&usg=AOvVaw0BKCR35GRIVoc9-525_5NW,Health care provider,0.845476,negative
coronavirus,/url?q=https://blog.twitter.com/en_us/topics/company/2020/keeping-our-employees-and-partners-safe-during-coronavirus.html&sa=U&ved=2ahUKEwiZvrLx7p7qAhUQ4zgGHfpvAGgQFjAQegQIBxAB&usg=AOvVaw1zCTQXXne19cSfcY2kyXAZ,Face,0.91136,negative
coronavirus,/url?q=https://ieee-dataport.org/open-access/coronavirus-covid-19-tweets-dataset&sa=U&ved=2ahUKEwiZvrLx7p7qAhUQ4zgGHfpvAGgQFjARegQICxAB&usg=AOvVaw1J3646hrMlaA6-FsJIpXYr,Das Model,0.91136,neutral
coronavirus,/url?q=https://scroll.in/field/965479/what-a-mess-twitter-reacts-to-novak-djokovic-testing-positive-for-coronavirus-after-adria-tour&sa=U&ved=2ahUKEwiZvrLx7p7qAhUQ4zgGHfpvAGgQFjASegQIBRAB&usg=AOvVaw3In7Jcau9b0S8hIYHgZm4I,,,negative
coronavirus,/url?q=https://www.news18.com/news/buzz/donald-trump-blamed-china-again-for-coronavirus-kungfluvirus-trends-on-india-twitter-2680747.html&sa=U&ved=2ahUKEwiZvrLx7p7qAhUQ4zgGHfpvAGgQFjATegQIARAB&usg=AOvVaw03wpvRviECxaf3kUsbPzos,,,neutral
coronavirus,/url?q=https://economictimes.indiatimes.com/magazines/panache/no-more-fake-news-twitter-will-label-tweets-that-contain-harmful-misleading-content-on-coronavirus/articleshow/75688104.cms&sa=U&ved=2ahUKEwiZvrLx7p7qAhUQ4zgGHfpvAGgQFjAUegQIBBAB&usg=AOvVaw31cjbVuAXUtG5XnPI5IS4a,Noah Bennet,0.85263,negative
coronavirus,/url?q=https://stopcoronavirus.mcgm.gov.in/&sa=U&ved=2ahUKEwiZvrLx7p7qAhUQ4zgGHfpvAGgQFjAVegQIAhAB&usg=AOvVaw1BrQd1Ycaj0msb9Fn-qjwe,,,neutral
Lockdown-extension,/url?q=https://twitter.com/cmomaharashtra/status/1261940917725872128%3Flang%3Den&sa=U&ved=2ahUKEwjKj8P-7p7qAhXRwjgGHWRXAvAQFjAAegQIBRAB&usg=AOvVaw3Y644Z58TvrgYfNtCdALwk,Maharashtra,0.944812,neutral
Lockdown-extension,/url?q=https://twitter.com/CMOMaharashtra/status/1261927931657351169&sa=U&ved=2ahUKEwjKj8P-7p7qAhXRwjgGHWRXAvAQFjABegQIBxAB&usg=AOvVaw3OYkEQAuwzydc2NQ5F5E3o,Maharashtra,0.944812,neutral
Lockdown-extension,/url?q=https://twitter.com/telanganacmo/status/1267123500508119043%3Flang%3Den&sa=U&ved=2ahUKEwjKj8P-7p7qAhXRwjgGHWRXAvAQFjACegQIChAB&usg=AOvVaw1nkLo1u7Mm9qJ4MYOo3wo5,,,negative
Lockdown-extension,/url?q=https://www.hindustantimes.com/india-news/may-the-4th-be-with-us-twitter-reacts-to-lockdown-extension/story-S4bbet0ZSZj68YDnO875UM.html&sa=U&ved=2ahUKEwjKj8P-7p7qAhXRwjgGHWRXAvAQFjADegQICRAB&usg=AOvVaw0RCGORpQeFtpt2SLNJu5Wq,Narendra Modi,0.954089,positive
Lockdown-extension,/url?q=https://www.hindustantimes.com/it-s-viral/lockdown-4-people-gear-up-to-face-the-extension-with-rib-tickling-memes/story-uJJc6eLQlgZry1VDn7ltuJ.html&sa=U&ved=2ahUKEwjKj8P-7p7qAhXRwjgGHWRXAvAQFjAEegQICBAB&usg=AOvVaw3-Mfju7n_Z7XFP7CE6za3o,,,neutral
Lockdown-extension,/url?q=https://www.india.com/viral/lockdown-5-0-netizens-gear-up-to-face-the-extension-with-hilarious-memes-4043146/&sa=U&ved=2ahUKEwjKj8P-7p7qAhXRwjgGHWRXAvAQFjAFegQIAxAB&usg=AOvVaw1n7Zsx-ku065CkpenUTREi,United States,0.886784,negative
Lockdown-extension,/url?q=https://indianexpress.com/article/trending/trending-in-india/lockdown-5-indians-speculate-about-lockdown-extension-6433153/&sa=U&ved=2ahUKEwjKj8P-7p7qAhXRwjgGHWRXAvAQFjAGegQIBBAB&usg=AOvVaw2nyVwehDpDbaywtuuT6cO0,,,positive
Lockdown-extension,/url?q=https://scroll.in/article/959129/what-no-new-task-modis-lockdown-extension-speech-sparks-scathing-humour-on-twitter&sa=U&ved=2ahUKEwjKj8P-7p7qAhXRwjgGHWRXAvAQFjAHegQIAhAB&usg=AOvVaw1QBy1ZF-mQFouBK5VlqFwZ,,,positive
Lockdown-extension,/url?q=https://www.freepressjournal.in/viral/grammar-nazi-vs-rangoli-chandel-on-twitter-is-more-informative-than-pm-modis-lockdown-extension-speech&sa=U&ved=2ahUKEwjKj8P-7p7qAhXRwjgGHWRXAvAQFjAIegQIARAB&usg=AOvVaw3TeMgCZZNjE_NU2SFP0VIm,Twitter,0.932431,negative
Lockdown-extension,/url?q=https://www.timesnownews.com/india/article/maharashtra-lockdown-extension-guidelines-what-is-mission-begin-again-list-of-restrictions-whats-allowed/599742&sa=U&ved=2ahUKEwjKj8P-7p7qAhXRwjgGHWRXAvAQFjAJegQIBhAB&usg=AOvVaw2l_r6pwhL26Z2BGTKJRdF4,,,neutral
